id Weight Body_Length Tail_Length Date Sex Year Age Who Cohort Wolfgruoben Mother Father f X_Position Y_Position animal Age3 Phi Im ARS LRS Origin Julian RelativeJulian ARSS rPhi rARSS rLRS rock_coverage herb_coverage rARS StDate StDateSq rLRS2
CN06-004 46 NA NA 2006-08-18 Female 2006 A SR/PW/TB 2005 FALSE 0 0 0 -1.71690158649839 -0.550681190630199 CN06-004 1 0 0 2 2 2006-01-01 229 85 2 0 1.08108108108108 0.520833333333333 -0.199272601453392 -0.0700618913027372 1.6260162601626 0.123210589816177 -0.0861752719268112 0.532614257208188
CN06-004 51 NA NA 2006-09-13 Female 2006 A SR/MW 2005 FALSE 0 0 0 -1.55190496324488 -0.550681190630199 CN06-004 1 0 0 2 2 2006-01-01 255 111 2 0 1.08108108108108 0.520833333333333 -1.08545443027011 1.32116301958908 1.6260162601626 0.882011092947994 0.840613152204466 0.529438646428872
CN06-004 54 NA NA 2006-09-21 Female 2006 A PW/SR 2005 FALSE 0 0 0 -1.63440327487163 -0.800199382847688 CN06-004 1 0 0 2 2 2006-01-01 263 119 2 0 1.08108108108108 0.520833333333333 -0.494666544392298 -0.209184382391919 1.6260162601626 1.11548817083471 1.1752463351718 0.522891116278625
CN06-004 51 NA NA 2006-09-22 Female 2006 A PW/SR 2005 FALSE 0 0 0 -1.71690158649839 -1.04971757506518 CN06-004 1 0 0 2 2 2006-01-01 264 120 2 0 1.08108108108108 0.520833333333333 -1.08545443027011 -0.0700618913027372 1.6260162601626 1.14467280557055 1.2187122757855 0.528118556700264
CN06-005 45 NA 49 2006-05-26 Male 2006 A PW 2005 FALSE 0 0 0 -1.63440327487163 -0.550681190630199 CN06-005 1 0 0 5 5 2006-01-01 145 1 5 0 3.73873873873874 0.867768595041322 -1.08545443027011 -0.0700618913027372 4.77011494252874 -2.32829872799431 -1.39997424679423 0.867831849573787
CN06-005 46 NA 55 2006-06-14 Male 2006 A PW 2005 FALSE 0 0 0 -1.46940665161812 0.197873386022266 CN06-005 1 0 0 5 5 2006-01-01 164 20 5 0 3.73873873873874 0.867768595041322 0.98230317030223 -0.765674346748644 4.77011494252874 -1.77379066801336 -1.3274097685312 0.89107066578319
CN06-005 50 NA NA 2006-06-15 Male 2006 A PW 2005 FALSE 0 0 0 -1.55190496324488 -0.0516448061952222 CN06-005 1 0 0 5 5 2006-01-01 165 21 5 0 3.73873873873874 0.867768595041322 0.686909227363325 -0.417868119025691 4.77011494252874 -1.74460603327753 -1.31995326825856 0.877724875496031
CN06-005 52 NA NA 2006-07-05 Male 2006 A PW 2005 FALSE 0 0 0 -1.22191171673786 -0.550681190630199 CN06-005 1 0 0 5 5 2006-01-01 185 41 5 0 3.73873873873874 0.867768595041322 -1.08545443027011 -0.626551855659463 4.77011494252874 -1.16091333856074 -1.09443960147622 0.868480540303926
CN06-005 51 NA NA 2006-07-06 Male 2006 A PW 2005 FALSE 0 0 0 -1.1394134051111 -1.04971757506518 CN06-005 1 0 0 5 5 2006-01-01 186 42 5 0 3.73873873873874 0.867768595041322 -1.38084837320901 -0.0700618913027372 4.77011494252874 -1.1317287038249 -1.07934473507063 0.875394593389173
CN06-005 53 NA NA 2006-07-19 Male 2006 A PW 2005 FALSE 0 0 0 -0.891918470230834 -1.54875395950015 CN06-005 1 0 0 5 5 2006-01-01 199 55 5 0 3.73873873873874 0.867768595041322 -1.38084837320901 0.973356791866123 4.77011494252874 -0.752328452258996 -0.85001188522182 0.872912342156367
